vibration_hz,motor_current_ma,wheel_slip_ratio,terrain_class
16.81,150.49,0.032,0
98.58,569.03,0.306,2
16.08,116.77,0.011,0
40.5,288.97,0.056,1
15.98,138.73,0.007,0
87.45,663.25,0.176,2
18.15,157.55,0.012,0
5.41,164.23,0.022,0
14.82,179.02,0.017,0
19.58,156.84,0.018,0
8.85,148.89,0.03,0
39.54,326.68,0.044,1
77.83,520.16,0.3,2
18.96,191.21,0.023,0
113.47,648.36,0.294,2
36.05,327.93,0.012,1
13.77,139.39,0.014,0
34.76,347.18,0.068,1
19.24,387.37,0.07,1
20.02,150.25,0.035,0
20.68,149.0,0.016,0
74.13,646.75,0.149,2
72.89,565.66,0.252,2
13.01,453.19,0.047,1
33.5,357.24,0.051,1
53.47,324.03,0.038,1
11.99,149.76,0.003,0
72.37,603.98,0.325,2
84.33,702.53,0.29,2
41.39,335.4,0.065,1
10.37,155.8,0.022,0
47.96,670.95,0.039,2
19.06,141.11,0.032,0
39.22,382.63,0.043,1
66.63,558.94,0.272,2
100.94,767.16,0.308,2
7.88,191.85,0.033,0
25.32,400.5,0.077,1
18.31,398.75,0.033,1
34.26,133.38,0.011,0
9.02,158.03,0.015,0
19.26,138.46,0.018,0
36.28,393.65,0.066,1
89.32,729.38,0.444,2
62.1,601.67,0.245,2
86.63,643.77,0.291,2
18.79,165.11,0.005,0
45.51,370.31,0.041,1
42.33,335.39,0.053,1
87.15,478.57,0.266,2
37.61,380.37,0.043,1
22.48,270.25,0.032,1
26.53,350.85,0.07,1
15.57,156.77,0.045,0
11.73,145.94,0.045,0
18.26,131.85,0.022,0
13.39,122.4,0.03,0
52.98,386.76,0.062,1
35.29,354.89,0.034,1
36.26,298.13,0.073,1
7.61,140.58,0.018,0
37.08,365.54,0.029,1
81.47,654.91,0.254,2
49.77,295.32,0.074,1
17.58,150.97,0.033,0
15.29,132.49,0.02,0
63.64,581.28,0.305,2
59.03,352.28,0.057,1
50.66,388.56,0.04,1
48.8,341.01,0.102,1
63.64,505.53,0.296,2
19.29,334.01,0.065,1
107.01,512.66,0.362,2
34.05,338.2,0.048,1
11.08,182.57,0.023,0
82.29,557.92,0.198,2
48.29,353.04,0.035,1
35.52,355.46,0.023,1
12.6,160.39,0.014,0
99.57,726.44,0.32,2
23.54,271.35,0.072,1
16.38,182.9,0.026,0
46.89,340.05,0.029,1
14.64,154.48,0.017,0
80.9,635.16,0.306,2
94.21,508.1,0.33,2
39.25,343.9,0.073,1
39.3,361.97,0.074,1
12.57,151.99,0.021,0
32.19,375.93,0.024,1
19.74,351.36,0.03,1
35.16,323.95,0.055,1
69.87,684.16,0.1,2
94.06,671.01,0.352,2
68.41,653.31,0.272,2
29.29,360.7,0.05,1
15.44,167.45,0.009,0
10.58,129.26,0.02,0
83.5,601.57,0.168,2
98.93,720.89,0.1,2
42.59,397.87,0.051,1
38.93,314.06,0.031,1
43.7,368.24,0.007,1
37.44,372.76,0.027,1
78.86,484.03,0.365,2
9.61,150.96,0.015,0
73.84,637.31,0.233,2
8.11,136.99,0.016,0
74.46,608.35,0.285,2
16.07,151.55,0.023,0
70.74,689.39,0.169,2
85.27,533.56,0.318,2
79.72,513.02,0.46,2
31.51,330.48,0.05,1
95.9,671.23,0.386,2
23.8,343.66,0.05,1
67.74,585.34,0.074,2
61.69,539.32,0.275,2
16.48,115.74,0.023,0
84.51,525.64,0.23,2
29.41,351.75,0.088,1
16.79,170.75,0.034,0
17.85,155.41,0.018,0
51.84,356.42,0.05,1
92.94,521.51,0.348,2
15.46,193.8,0.029,0
8.76,141.84,0.016,0
72.63,667.93,0.212,2
41.14,301.61,0.051,1
21.54,149.35,0.007,0
44.18,419.08,0.02,1
74.85,474.86,0.225,2
42.09,313.17,0.068,1
21.78,141.98,0.021,0
86.48,713.79,0.245,2
12.53,140.45,0.025,0
57.29,690.03,0.228,2
93.12,611.47,0.321,2
45.3,402.07,0.041,1
18.17,150.95,0.022,0
8.7,151.73,0.014,0
6.18,145.73,0.027,0
76.25,574.58,0.269,2
56.63,419.98,0.08,1
82.14,599.94,0.144,2
17.31,105.78,0.038,0
95.59,593.32,0.277,2
17.06,145.58,0.013,0
39.96,436.6,0.067,1
9.71,136.46,0.016,0
24.26,132.05,0.035,0
91.69,612.14,0.14,2
41.98,371.46,0.04,1
37.01,411.14,0.064,1
32.43,411.23,0.06,1
14.63,160.29,0.037,0
13.5,153.67,0.038,0
55.75,405.61,0.068,1
37.49,321.26,0.036,1
22.39,107.52,0.015,0
24.73,362.39,0.062,1
86.41,468.54,0.195,2
78.36,490.95,0.365,2
41.43,372.33,0.05,1
37.39,412.46,0.054,1
31.38,397.86,0.076,1
13.83,152.35,0.039,0
20.15,149.62,0.046,0
119.67,503.11,0.217,2
46.49,354.78,0.008,1
28.0,366.55,0.031,1
53.01,313.84,0.06,1
16.31,177.08,0.007,0
33.27,387.98,0.029,1
18.07,345.16,0.038,1
63.92,519.68,0.145,2
25.11,314.5,0.041,1
86.11,637.01,0.391,2
15.55,125.72,0.015,0
10.96,134.82,0.008,0
12.68,145.65,0.027,0
39.4,317.85,0.041,1
9.0,100.57,0.022,0
54.75,761.89,0.143,2
21.4,321.92,0.064,1
21.66,452.33,0.052,1
20.71,173.59,0.016,0
13.96,151.43,0.028,0
41.08,323.06,0.08,1
13.54,162.57,0.031,0
19.66,129.95,0.021,0
30.16,337.79,0.035,1
48.64,373.7,0.05,1
92.38,684.79,0.177,2
34.6,320.58,0.019,1
16.79,138.01,0.009,0
80.28,657.45,0.223,2
16.1,355.67,0.049,1
85.86,478.21,0.298,2
35.38,312.43,0.041,1
87.74,579.88,0.234,2
43.53,367.78,0.061,1
103.98,601.53,0.228,2
14.24,140.81,0.026,0
52.98,562.4,0.24,2
42.01,379.4,0.084,1
39.57,366.76,0.034,1
77.08,559.67,0.319,2
96.82,687.77,0.187,2
77.48,767.98,0.232,2
24.98,353.27,0.003,1
44.98,308.12,0.057,1
49.4,293.45,0.044,1
61.56,545.23,0.288,2
31.78,436.29,0.032,1
29.65,368.99,0.045,1
22.17,285.46,0.032,1
12.05,159.58,0.031,0
18.84,138.17,0.008,0
38.96,277.92,0.057,1
11.43,134.14,0.046,0
38.52,383.34,0.046,1
24.77,374.0,0.067,1
12.9,138.01,0.03,0
