vibration_hz,motor_current_ma,target
43.71,264.67,0
95.56,340.33,0
75.88,284.81,0
63.88,441.92,1
24.04,218.18,0
24.04,238.2,0
15.23,356.17,1
87.96,363.14,0
64.1,428.77,1
73.73,528.15,1
11.85,171.7,0
97.29,507.72,1
84.92,260.79,0
29.11,311.75,1
26.36,332.45,1
26.51,232.74,0
37.38,471.1,1
57.23,421.09,1
48.88,401.79,1
36.21,403.61,1
65.07,463.27,1
22.55,213.62,0
36.29,364.57,1
42.97,265.4,0
51.05,415.65,1
80.67,355.82,0
27.97,179.08,0
56.28,410.05,1
63.32,553.91,1
14.18,388.71,1
64.68,210.02,0
25.35,341.03,1
15.85,207.83,0
95.4,310.63,0
96.91,393.09,0
82.76,540.24,1
37.42,358.58,1
18.79,166.62,0
71.58,215.35,0
49.61,512.56,1
20.98,160.09,0
54.57,476.61,1
13.09,177.29,0
91.84,597.49,1
33.29,185.89,0
69.63,484.26,1
38.05,237.5,0
56.81,485.64,1
59.2,505.73,1
26.64,167.5,0
97.26,336.59,0
79.76,567.41,1
94.55,274.9,0
90.53,604.84,1
63.81,267.43,0
92.97,532.19,1
17.96,310.79,1
27.64,366.69,1
14.07,398.73,1
39.28,436.74,1
44.98,437.09,1
34.42,209.61,0
84.59,273.64,0
42.11,191.5,0
35.28,371.05,1
58.84,469.99,1
22.68,360.19,1
82.2,554.67,1
16.71,180.72,0
98.82,369.22,0
79.5,612.54,1
27.88,205.96,0
10.5,128.96,0
83.39,601.48,1
73.62,352.06,0
75.61,579.83,1
79.41,314.1,0
16.66,390.48,1
42.26,333.01,1
20.43,390.27,1
87.68,511.31,1
66.1,231.04,0
39.78,451.08,1
15.72,248.79,1
37.99,299.34,1
39.27,232.67,0
75.66,517.73,1
67.38,327.27,0
89.85,561.72,1
52.5,310.31,0
20.76,199.92,0
74.19,478.87,1
78.47,313.23,0
60.51,437.18,1
79.39,513.24,1
54.44,381.24,1
57.05,276.25,0
48.48,237.74,0
12.29,344.5,1
19.71,363.21,1
12.83,53.98,0
67.28,423.13,1
38.29,390.3,1
55.77,436.65,1
91.68,359.58,0
32.44,213.18,0
46.93,297.99,0
78.0,510.62,1
30.59,360.83,1
16.93,262.36,1
36.08,155.45,0
24.51,388.05,1
93.67,587.2,1
82.73,583.9,1
67.01,426.12,1
88.43,328.92,0
82.33,335.52,0
26.79,469.35,1
90.33,350.42,0
58.54,328.4,0
82.67,515.17,1
90.65,584.28,1
38.62,257.61,0
19.9,358.07,1
30.51,155.47,0
48.44,407.64,1
83.62,388.62,0
87.47,562.56,1
10.63,129.22,0
55.97,246.23,0
47.57,169.68,0
29.99,447.19,1
20.79,207.41,0
40.39,215.48,0
94.86,547.16,1
39.09,289.18,1
56.69,242.26,0
73.27,356.56,0
42.73,455.89,1
97.46,560.19,1
96.62,540.81,1
32.66,421.47,1
54.75,422.81,1
37.08,146.11,0
35.64,388.78,1
13.32,169.42,0
64.86,327.06,0
55.24,200.45,0
14.63,330.44,1
35.08,204.68,0
91.74,305.31,0
31.56,403.29,1
23.04,207.5,0
54.05,243.5,0
98.71,649.53,1
31.78,186.69,0
70.49,278.36,0
78.55,297.34,0
31.39,337.69,1
75.54,460.9,1
43.1,336.05,1
66.91,279.61,0
67.02,289.84,0
58.22,331.41,1
18.13,161.24,0
85.18,334.63,0
38.87,422.9,1
26.79,427.2,1
13.67,188.23,0
63.18,253.14,0
70.98,268.0,0
11.49,357.71,1
56.09,412.86,1
30.38,314.56,1
68.07,588.87,1
25.69,171.8,0
72.18,449.13,1
44.81,302.41,1
94.31,578.33,1
22.38,306.55,1
40.7,403.17,1
20.21,209.28,0
93.22,314.17,0
88.96,526.38,1
33.21,263.99,0
69.4,350.66,1
83.55,468.35,1
59.97,233.74,0
57.67,256.7,0
31.77,377.03,1
18.38,292.88,1
90.75,494.15,1
91.04,316.67,0
66.98,449.91,1
40.51,412.19,1
41.43,449.1,1
75.34,350.55,0
90.74,559.53,1
89.84,480.9,1
80.19,320.34,0
67.78,588.17,1
17.57,394.66,1
24.55,163.75,0
90.87,606.28,1
64.58,265.92,0
10.83,120.33,0
19.13,417.62,1
69.72,408.81,1
10.46,230.45,1
24.47,408.25,1
59.39,269.57,0
72.27,487.04,1
68.68,277.23,0
30.18,363.54,1
74.1,462.33,1
31.35,347.08,1
39.29,202.94,0
77.18,472.29,1
68.47,429.74,1
86.43,488.82,1
69.19,347.82,1
61.15,300.26,0
18.43,365.59,1
43.09,224.34,0
33.87,214.16,0
31.96,210.84,0
97.57,334.97,0
45.38,212.14,0
90.28,366.84,0
66.8,477.38,1
81.53,405.57,0
55.24,322.88,0
61.92,312.12,0
54.33,397.73,1
27.57,340.7,1
75.02,267.47,0
35.27,402.16,1
12.19,40.83,0
68.09,271.89,0
25.94,349.51,1
94.64,295.63,0
95.85,579.52,1
92.34,473.89,1
43.31,239.0,0
11.39,259.83,0
93.55,453.32,1
48.54,235.4,0
97.0,346.2,0
96.73,337.74,0
86.77,554.94,1
